pValue,ligand,data
4.68,C=CCOc1ccc(OCC(O)CNC(C)C)cc1,CYP2d6_ic50
5.08,COc1ccc2c(OCC(O)CNC(C)C)cccc2c1,CYP2d6_ic50
7.1,CC(C)(Cc1c[nH]c2ccc(O)cc12)NCC(O)COc1ccccc1C#N,CYP2d6_ic50
7.3,CC(C)(Cc1c[nH]c2ccccc12)NCC(O)COc1c(C#N)ccc2ccccc12,CYP2d6_ic50
7.4,C=CCN(CC(O)COc1ccccc1C#N)C(C)(C)Cc1cc2ccccc2[nH]1,CYP2d6_ic50
7.3,COc1ccc2[nH]cc(CC(C)(C)NCC(O)COc3ccccc3C#N)c2c1,CYP2d6_ic50
7.4,CCc1ncnc2cc(OCC(O)CNC(C)(C)Cc3cc4ccccc4[nH]3)c(OC)cc12,CYP2d6_ic50
6.17,C#CCN(CC(O)COc1ccccc1C#N)C(C)(C)Cc1cc2ccccc2[nH]1,CYP2d6_ic50
6.55,COCCc1ccc(OCC(O)CNC(C)(C)CSc2ccccc2C)cc1,CYP2d6_ic50
6.92,CCc1ccccc1OCC(O)CNC(C)(C)Cc1cc2ccccc2[nH]1,CYP2d6_ic50
7.3,CC(C)(Cc1csc2ccccc12)NCC(O)COc1ccccc1C#N,CYP2d6_ic50
5.32,CCc1cccc2cc(CC(O)CNC(C)(C)C)oc12,CYP2d6_ic50
7.3,CC(C)(Cc1c[nH]c2ccccc12)NCC(O)COc1ccc(F)cc1C#N,CYP2d6_ic50
5.72,CC(C)NCC(O)COc1cccc2ccccc12,CYP2d6_ic50
4,CC(=O)Nc1ccc(OCC(O)CNC(C)C)c2ccccc12,CYP2d6_ic50
7.4,Cc1cc(OCC(O)CNC(C)(C)Cc2cc3ccccc3[nH]2)ccc1S(C)(=O)=O,CYP2d6_ic50
6.46,CC(C)(Cc1cc2ccccc2[nH]1)NCC(O)COc1ccc(S(C)(=O)=O)cc1,CYP2d6_ic50
7.16,CCc1ncnc2cc(OC)c(OCC(O)CNC(C)(C)Cc3cc4ccccc4[nH]3)cc12,CYP2d6_ic50
6.96,CC(C)(Cc1cc2ccccc2[nH]1)NCC(O)COc1ccccc1S(C)(=O)=O,CYP2d6_ic50
