pValue,smiles,data
7.35,CCOC(=O)N1CCc2cc(O)ccc2C1c1ccc(OCCN2CCCC2)cc1,ERalpha_ic50
7.87,Oc1ccc([C@@H]2Sc3cc(O)c(F)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50
8.52,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50
4.48,Oc1ccc(C2=Nc3c(O)cc(O)cc3OC2)cc1,ERalpha_ic50
7.55,Cc1ccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50
8.62,Oc1ccc([C@@H]2Sc3c(ccc(O)c3Cl)O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50
8.85,CN(C)CCOc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2cccc(O)c2)cc1,ERalpha_ic50
6.07,CCC1Oc2cc(O)ccc2N=C1c1ccc(O)cc1,ERalpha_ic50
8.4,Cl.Oc1ccc2c(c1)CC[C@@H](c1ccccc1)[C@H]2c1ccc(OCCN2CCCC2)cc1,ERalpha_ic50
5.25,Oc1ccc2c(c1)CC1Oc3cc(O)ccc3N=C21,ERalpha_ic50
7.15,CC(C)c1ccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50
7.46,Cc1cc2c(cc1O)O[C@H](c1ccc(OCCN3CCCCC3)cc1)[C@H](c1ccc(O)cc1)S2,ERalpha_ic50
5.07,CC1(C)Oc2cc(O)ccc2N=C1c1ccc(O)cc1,ERalpha_ic50
8.8,Oc1ccc([C@@H]2Sc3ccc(O)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50
8.52,Oc1cccc(C2Sc3cc(O)ccc3OC2c2ccc(OCCN3CCCCC3)cc2)c1,ERalpha_ic50
9.1,CC1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3cccc(O)c3)cc2)CC1,ERalpha_ic50
6.75,CCC1Oc2cc(O)cc(C)c2N=C1c1ccc(O)c(Br)c1,ERalpha_ic50
5.55,CC1Oc2cc(O)cc(O)c2N=C1c1ccc(O)cc1,ERalpha_ic50
9.1,Oc1ccc([C@@H]2Sc3c(ccc(O)c3F)O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,ERalpha_ic50
7.51,Cc1ccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCC3)cc2)cc1,ERalpha_ic50
5.96,O=S1(=O)c2cc(O)ccc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,ERalpha_ic50
7.15,CN(C)c1cccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)c1,ERalpha_ic50
8.7,Cc1cc(O)cc2c1S[C@@H](c1ccc(O)cc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,ERalpha_ic50
