pValue,ligand,data
4.29,CCCCOc1ccc(-n2ccnc2C)cc1,CYP3a4_ic50
4.03,CCCCOc1ccc(-c2ccnn2C)cc1,CYP3a4_ic50
4.64,CCCCOc1ccc(-c2ccns2)cc1,CYP3a4_ic50
6.4,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3ccccc3)c2)C[C@H]1C(=O)NCC(F)(F)F,CYP3a4_ic50
7.1,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3cccc(Cl)c3)c2)C[C@H]1C(=O)NCC(F)(F)F,CYP3a4_ic50
7.3,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3ccc(F)c(F)c3F)c2)C[C@H]1C(=O)NCC(F)(F)F,CYP3a4_ic50
4.24,CCCCOc1ccc(-c2cnco2)cc1,CYP3a4_ic50
7.3,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3ccc(Cl)cc3)c2)C[C@H]1C(=O)NCC(F)(F)F,CYP3a4_ic50
4.15,CCCCOc1ccc(-c2cc[nH]n2)cc1,CYP3a4_ic50
6.94,CCCCOc1ccc(-n2cncc2C)cc1,CYP3a4_ic50
4.18,CCCCc1ccc(/N=C/NO)c(C)c1,CYP3a4_ic50
6.37,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccc(-c3ccccc3)o2)C[C@H]1C(=O)NCC(F)(F)F,CYP3a4_ic50
6.05,CCCCOc1ccc(-c2c[nH]cn2)cc1,CYP3a4_ic50
4.35,CCCCOc1ccc(-c2ncc[nH]2)cc1,CYP3a4_ic50
5.04,CCCCOc1ccc(-n2cnc(C)c2)cc1,CYP3a4_ic50
6.6,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,CYP3a4_ic50
0,COc1ccc(CN2CCN(C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@@H](NC(=O)OCc3csc(C)n3)C(C)C)[C@H](C(=O)NC(C)(C)C)C2)cc1OC,CYP3a4_ic50
4.46,CCc1ncc(COC(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2CCN(Cc3ccc(OC)c(OC)c3)C[C@H]2C(=O)NC(C)(C)C)C(C)C)s1,CYP3a4_ic50
5.64,CC(C)c1nc(COC(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2CCN(Cc3cccnc3)C[C@H]2C(=O)NC(C)(C)C)C(C)C)cs1,CYP3a4_ic50
5.02,CC(C)c1nc(COC(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2CCN(Cc3ccc4c(c3)OCO4)C[C@H]2C(=O)NC(C)(C)C)C(C)C)cs1,CYP3a4_ic50
4.82,CC(C)c1nc(COC(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2CCN(Cc3cncs3)C[C@H]2C(=O)NC(C)(C)C)C(C)C)cs1,CYP3a4_ic50
4.92,CC(C)c1nc(COC(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2CCN(Cc3cccc4c3COC4)C[C@H]2C(=O)NC(C)(C)C)C(C)C)cs1,CYP3a4_ic50
4.77,CN(C)CCCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,CYP3a4_ic50
5.7,CCN(CC)CCCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,CYP3a4_ic50
4.51,Cn1cc(Cc2cn(CC(=O)N(CC(=O)O)Cc3ccc(-c4ccc(C(F)(F)F)cc4)cc3)c(SCc3ccc(F)cc3)nc2=O)cn1,CYP3a4_ic50
4.82,Cn1cc(Cc2cn(CC(=O)N(CCN)Cc3ccc(-c4ccc(Cl)cc4)cc3)c(SCc3ccc(F)cc3)nc2=O)cn1,CYP3a4_ic50
4.72,Cn1cc(Cc2cn(CC(=O)N(CCO)Cc3ccc(-c4ccc(Cl)cc4)cc3)c(SCc3ccc(F)cc3)nc2=O)cn1,CYP3a4_ic50
5.1,CN(C)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,CYP3a4_ic50
5,CN1CCN(CCCN(Cc2ccc(-c3ccc(Cl)cc3)cc2)C(=O)Cn2cc(Cc3cnn(C)c3)c(=O)nc2SCc2ccc(F)cc2)CC1,CYP3a4_ic50
5.3,CCN(CC)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,CYP3a4_ic50
6.51,CC(C)(C)NC(=O)[C@@H]1CN(C(C)(C)c2cc3cnccc3o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,CYP3a4_ic50
5,Cn1cc(Cc2cn(CC(=O)N(CCN3CCCCC3)Cc3ccc(-c4ccc(C(F)(F)F)cc4)cc3)c(SCc3ccc(F)cc3)nc2=O)cn1,CYP3a4_ic50
5.22,Cn1cc(Cc2cn(CC(=O)N(CCN3CCCC3)Cc3ccc(-c4ccc(Cl)cc4)cc3)c(SCc3ccc(F)cc3)nc2=O)cn1,CYP3a4_ic50
4.52,CN(C)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Cc2cnn(C)c2)c(=O)nc1SCc1ccc(F)cc1,CYP3a4_ic50
7.4,CC(C)(c1ncc(-c2cnccc2Cl)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,CYP3a4_ic50
7.4,COc1cncc(-c2cnc(C(C)(C)N3CCN(C[C@@H](O)C[C@@H](Cc4ccccc4)C(=O)N[C@H]4c5ccccc5OC[C@H]4O)[C@H](C(=O)NCC(F)(F)F)C3)o2)c1,CYP3a4_ic50
5.3,CC(C)(c1ncc(-c2ccccn2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,CYP3a4_ic50
6.96,CC(C)(c1ncc(-c2cccnc2)o1)N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3OC[C@H]2O)[C@H](C(=O)NCC(F)(F)F)C1,CYP3a4_ic50
4.03,CCCCc1ccc(C)c(N/C=N/O)c1,CYP3a4_ic50
4.85,Cc1cc(C)cc(O[C@H](C(=O)O)[C@@]2(c3ccccc3)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)c1,CYP3a4_ic50
4.3,CCCCCCc1ccc(N/C=N/O)cc1,CYP3a4_ic50
6.35,Nn1nnc2ccccc21,CYP3a4_ic50
5.3,CCCCc1cccc([C@]2([C@H](Oc3nc(C)cc(C)n3)C(=O)O)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)c1,CYP3a4_ic50
4.19,CCCCc1ccc(N/C=N/O)cc1,CYP3a4_ic50
4.29,CCCCc1ccccc1/N=C/NO,CYP3a4_ic50
4.39,Cc1cc(C)nc(O[C@H](C(=O)O)[C@@]2(c3ccccc3)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)n1,CYP3a4_ic50
5.16,Cc1cc(C)nc(O[C@H](C(=O)O)[C@@]2(c3cccc(-c4ccccc4)c3)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)n1,CYP3a4_ic50
6.38,c1cncc(CCCOc2ccc(-n3ccnc3)cc2)c1,CYP3a4_ic50
5.25,c1cn(-c2ccc(OCCN3CCOCC3)cc2)cn1,CYP3a4_ic50
6.46,c1cc(CCCOc2ccc(-n3ccnc3)cc2)ccn1,CYP3a4_ic50
4.41,CN(C)CCCOc1ccc(-n2ccnc2)cc1,CYP3a4_ic50
6.6,c1ccc(CCCOc2ccc(-n3ccnc3)cc2)nc1,CYP3a4_ic50
5.35,CN(C)CCCCCCOc1ccc(-n2ccnc2)cc1,CYP3a4_ic50
6.2,c1ccc(COc2ccc(-n3ccnc3)cc2)nc1,CYP3a4_ic50
