ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
2212,6.112,0.8086,6.112,0.8086
2213,6.874,0.4876,6.777,0.603
2214,6.929,0.6504,6.929,0.6504
2215,7.483,0.8661,7.483,0.8661
2216,7.443,0.7499,7.443,0.7499
2217,7.312,0.6387,7.312,0.6387
2218,6.754,0.6458,6.754,0.6458
2219,5.49,0.7176,5.49,0.7176
2220,8.03,0.276,7.979,0.6296
2221,8.203,0.5457,7.98,0.7009
2222,8.013,0.4771,8.013,0.4771
2223,7.263,0.7322,7.094,0.8241
2224,4.855,0.5406,4.731,0.6389
2225,5.006,0.6241,4.891,0.6338
2226,7.844,0.3399,7.752,0.429
2227,6.894,0.6348,6.713,0.7386
2228,6.963,0.5598,6.963,0.5598
2229,7.49,0.303,7.49,0.303
2231,7.776,0.2508,6.051,0.3755
2232,7.449,0.3669,7.428,0.4057
2233,7.775,0.4485,7.775,0.4485
2234,8.202,0.5512,8.202,0.5512
2235,7.317,0.4594,7.317,0.4594
2237,5.469,0.6457,5.14,0.6532
2238,5.707,0.7166,5.369,0.7724
2239,5.563,0.7474,5.443,0.8045
2240,6.052,0.7219,5.657,0.8477
2241,7.469,0.3071,7.302,0.4059
2242,6.838,0.4159,6.434,0.6414
2243,7.809,0.2647,6.977,0.4089
2244,8.192,0.3124,7.676,0.3853
2245,7.948,0.1294,7.619,0.2085
2246,7.865,0.2764,7.849,0.3965
2247,5.999,0.33,5.937,0.4497
2248,7.104,0.7105,7.104,0.7105
2249,6.345,0.4209,6.345,0.4209
2250,6.594,0.1924,6.269,0.2304
2251,6.511,0.5672,6.511,0.5672
2253,6.23,0.3154,6.086,0.4218
2254,6.232,0.3251,6.232,0.3251
2255,8.791,0.681,8.791,0.681
2256,8.623,0.3853,8.544,0.7436
2257,7.063,0.4102,6.952,0.4286
2258,6.775,0.2943,6.761,0.3987
2259,6.975,0.5188,6.975,0.5188
2260,7.566,0.2987,7.451,0.5293
2261,7.663,0.4263,7.663,0.4263
2262,7.169,0.5085,6.974,0.6378
2263,7.404,0.615,7.404,0.615
2264,7.25,0.5413,7.246,0.6453
2265,7.251,0.4259,6.85,0.4945
2266,7.283,0.5032,7.283,0.5032
2267,7.892,0.6151,7.892,0.6151
2268,7.452,0.4285,7.452,0.4285
2269,7.012,0.446,7.012,0.446
2270,7.242,0.539,7.242,0.539
2271,7.376,0.4086,7.376,0.4086
2272,7.122,0.4503,7.122,0.4503
2273,7.311,0.6823,7.311,0.6823
2274,7.397,0.3997,7.397,0.3997
2275,7.12,0.2636,6.981,0.38
2276,7.463,0.2581,7.332,0.4189
2277,7.31,0.3071,7.143,0.4355
2278,6.966,0.2857,6.903,0.4203
2279,7.254,0.3936,7.105,0.5137
2280,6.953,0.7022,6.953,0.7022
2281,6.499,0.6633,6.499,0.6633
2282,6.794,0.6959,6.794,0.6959
2283,7.248,0.2808,7.053,0.4361
2284,7.541,0.3045,7.482,0.4815
2285,6.98,0.3591,6.666,0.4639
2286,6.824,0.2531,6.737,0.4309
2287,8.214,0.3796,8.131,0.5543
2288,7.757,0.2986,7.694,0.4506
2289,6.625,0.325,6.449,0.4316
2290,6.293,0.4229,6.267,0.6556
2291,7.797,0.4746,7.436,0.5659
2292,6.691,0.4581,6.451,0.5112
2293,5.651,0.7704,5.651,0.7704
2296,6.648,0.4412,6.531,0.702
2297,6.947,0.5051,6.741,0.7894
2298,7.086,0.59,6.992,0.687
2299,7.238,0.5865,7.238,0.5865
2300,7.489,0.6305,7.385,0.6324
2307,7.629,0.242,7.509,0.4655
2308,7.187,0.3125,7.155,0.5192
2309,7.028,0.5593,7.028,0.5593
2310,7.528,0.3894,7.512,0.4264
2335,6.185,0.5859,6.185,0.5859
2336,6.336,0.5314,6.336,0.5314
2337,6.746,0.5137,6.543,0.5232
2338,6.509,0.6241,6.348,0.6924
2339,6.905,0.2272,6.817,0.2485
2340,7.188,0.54,7.188,0.54
2341,7.117,0.3992,6.654,0.4088
2343,7.512,0.4679,7.271,0.5743
2344,7.793,0.5527,7.793,0.5527
2345,7.967,0.5343,7.711,0.5602
2346,8.382,0.7639,8.382,0.7639
2347,8.089,0.6982,8.089,0.6982
2348,7.68,0.556,7.588,0.5825
2350,6.27,0.2674,6.27,0.2674
2351,7.787,0.5458,7.787,0.5458
2352,7.774,0.6168,7.774,0.6168
2353,7.941,0.4972,7.941,0.4972
2354,7.898,0.4866,7.898,0.4866
2355,8.029,0.6256,7.878,0.6714
2356,7.974,0.6077,7.974,0.6077
2357,7.879,0.5397,7.879,0.5397
2358,7.843,0.3811,7.683,0.4795
2359,7.93,0.3793,7.863,0.7015
2360,7.931,0.402,7.586,0.5629
2361,7.598,0.517,7.598,0.517
2362,8.061,0.5514,7.748,0.5659
2363,7.905,0.5102,7.79,0.5779
2364,8.063,0.6347,7.882,0.6355
2365,6.965,0.3905,6.914,0.5829
2366,6.988,0.3225,6.926,0.4166
2367,5.752,0.3832,5.595,0.4711
2368,7.898,0.2916,7.502,0.3177
2369,7.623,0.5997,7.092,0.7124
2370,7.746,0.6405,7.476,0.7553
2371,7.583,0.6317,7.436,0.7048
2372,7.477,0.7695,7.477,0.7695
2373,6.849,0.6239,6.605,0.6993
2374,6.962,0.6096,6.822,0.7185
2375,7.47,0.6039,7.379,0.7191
2376,7.653,0.6701,7.163,0.7341
2377,7.806,0.6095,7.575,0.6891
2378,7.873,0.6824,7.566,0.7246
2379,7.94,0.6643,7.477,0.7713
2380,8.057,0.6383,7.296,0.7108
2381,8.017,0.6848,7.633,0.7269
2382,8.585,0.7852,8.521,0.8377
2383,8.941,0.6634,8.912,0.7203
2384,9.287,0.5833,9.074,0.6776
2386,8.01,0.4247,7.816,0.6047
2387,7.751,0.2124,7.66,0.5868
2388,7.363,0.1862,7.273,0.3027
2391,7.454,0.2393,7.239,0.4797
2393,7.342,0.1719,7.038,0.2324
2394,7.113,0.3227,6.921,0.4275
2395,6.283,0.3144,6.099,0.3163
2397,7.259,0.3559,7.134,0.5237
2398,7.068,0.4043,6.786,0.6268
2399,7.223,0.3869,6.937,0.6696
2400,7.653,0.543,7.653,0.543
2402,7.759,0.687,7.759,0.687
2413,6.401,0.5562,6.245,0.6523
2414,5.868,0.5233,5.866,0.6967
2415,7.527,0.3965,7.457,0.4319
2416,5.863,0.4299,5.591,0.6196
2417,6.437,0.6065,6.091,0.6382
2421,7.512,0.4932,7.512,0.4932
2422,5.315,0.4719,5.237,0.5148
2423,7.68,0.4986,7.68,0.4986
2424,7.526,0.3661,7.391,0.417
2425,7.931,0.2751,7.643,0.5808
2428,6.466,0.4818,6.327,0.5159
2429,6.885,0.3575,6.611,0.4978
2430,5.638,0.8145,5.638,0.8145
2431,7.221,0.4471,6.8,0.5837
2432,6.184,0.4167,5.894,0.4326
2433,8.128,0.5583,7.846,0.5664
2434,7.511,0.5017,7.511,0.5017
2435,8.093,0.6087,8.093,0.6087
2436,7.776,0.3822,7.73,0.4558
2437,7.958,0.3167,7.64,0.3995
