ligand_id,cnn_affinity,pose_score,CNN affinity (best pose),pose_score (best pose)
444,3.717,0.5388,3.715,0.5403
445,3.894,0.5602,3.885,0.5605
446,3.599,0.6447,3.591,0.6503
447,3.876,0.5735,3.873,0.5792
448,4.347,0.4816,4.32,0.4837
449,3.648,0.6625,3.648,0.6625
450,3.939,0.5409,3.939,0.5409
451,4.133,0.6417,4.12,0.6428
452,4.081,0.6577,4.081,0.6577
453,4.293,0.6269,4.289,0.6302
454,4.093,0.6397,4.085,0.6525
455,4.314,0.6179,4.302,0.622
456,3.971,0.642,3.97,0.6432
457,4.184,0.609,4.176,0.6175
458,3.869,0.6593,3.851,0.6624
459,3.801,0.6422,3.801,0.6422
460,4.008,0.6153,4.008,0.6153
461,3.892,0.6596,3.873,0.661
462,4.101,0.6242,4.098,0.6362
463,3.929,0.636,3.928,0.6406
464,4.133,0.6071,4.133,0.6071
465,4.074,0.6497,4.074,0.6497
466,4.288,0.6251,4.285,0.6257
467,3.907,0.6668,3.897,0.6738
468,4.069,0.6569,4.065,0.657
469,4.144,0.6345,4.135,0.6378
470,4.308,0.6211,4.29,0.6223
471,3.954,0.656,3.954,0.656
472,4.199,0.6167,4.199,0.6167
473,3.788,0.613,3.773,0.6139
474,3.953,0.5961,3.919,0.5983
475,4.038,0.5816,4.023,0.5822
476,4.005,0.5818,3.994,0.5874
477,4.164,0.5708,4.143,0.5749
478,4.119,0.5956,4.115,0.6017
479,3.925,0.6204,3.912,0.6282
480,4.011,0.5844,4.01,0.5887
481,4.016,0.5857,4.016,0.5857
482,4.001,0.5849,3.995,0.5904
483,4.071,0.5549,4.061,0.5645
484,3.971,0.5941,3.963,0.6046
485,4.129,0.5875,4.12,0.5959
486,4.163,0.5937,4.163,0.5937
487,4.12,0.5799,4.097,0.5916
488,3.802,0.6177,3.802,0.6177
489,3.956,0.5883,3.932,0.6031
490,4.193,0.5541,4.191,0.5604
491,3.986,0.5461,3.971,0.5535
492,4.025,0.5672,4.021,0.5735
493,4.001,0.5795,4.001,0.5795
494,4.175,0.5597,4.155,0.566
495,4.018,0.5846,4.014,0.5855
496,4.065,0.5471,4.058,0.5583
497,3.922,0.6271,3.922,0.6271
498,4.017,0.5843,4.012,0.5911
499,4.018,0.5904,4.011,0.5904
500,3.73,0.6714,3.728,0.6815
501,3.703,0.6608,3.701,0.661
502,3.718,0.6733,3.7,0.6795
503,3.715,0.6668,3.715,0.6668
504,3.672,0.6515,3.671,0.6538
505,3.728,0.6618,3.716,0.6735
506,3.72,0.6594,3.701,0.6617
507,3.675,0.6431,3.664,0.6452
508,3.68,0.652,3.679,0.6523
509,3.933,0.6471,3.933,0.6471
510,3.967,0.6367,3.958,0.6419
511,3.896,0.6666,3.895,0.6712
512,3.775,0.6249,3.747,0.632
513,4.043,0.5867,4.037,0.5874
514,3.794,0.6529,3.794,0.6529
515,3.815,0.665,3.805,0.6692
516,3.836,0.6577,3.835,0.6584
517,3.924,0.6665,3.915,0.6696
518,4.022,0.4584,4.022,0.4584
519,4.359,0.4715,4.321,0.4755
520,4.217,0.4846,4.213,0.4886
521,4.333,0.4719,4.299,0.4799
522,4.316,0.4612,4.299,0.4653
523,4.183,0.509,4.167,0.5125
524,4.176,0.4675,4.167,0.4731
525,4.359,0.462,4.359,0.462
526,4.314,0.4508,4.314,0.4508
527,4.2,0.4834,4.168,0.4903
528,4.201,0.5269,4.201,0.5269
529,4.366,0.4977,4.349,0.4983
530,4.412,0.4965,4.407,0.5093
531,4.396,0.5274,4.396,0.5274
532,4.521,0.4834,4.502,0.4845
533,4.579,0.4775,4.545,0.4861
534,4.809,0.4137,4.698,0.4632
535,4.767,0.4531,4.708,0.4736
536,4.551,0.4909,4.538,0.4929
537,4.593,0.505,4.548,0.5213
538,4.675,0.4623,4.675,0.4623
539,4.679,0.4624,4.593,0.4662
540,4.682,0.4517,4.674,0.4891
541,4.682,0.4833,4.647,0.4937
542,4.723,0.4461,4.691,0.4686
543,4.799,0.4858,4.755,0.4982
544,4.702,0.4753,4.702,0.4753
545,4.676,0.4887,4.676,0.4887
546,4.012,0.6756,4.006,0.6853
547,4.036,0.6725,4.032,0.6778
548,4.029,0.6623,4.012,0.6688
549,4.188,0.6476,4.169,0.6538
550,4.059,0.6606,4.047,0.6627
551,4.217,0.6439,4.217,0.6439
552,4.4,0.6244,4.396,0.6283
553,3.91,0.6514,3.897,0.6559
554,4.063,0.6243,4.054,0.6294
555,3.914,0.652,3.908,0.6522
556,4.077,0.6243,4.065,0.6335
557,3.901,0.6468,3.885,0.6517
558,4.07,0.624,4.063,0.6303
559,4.267,0.6147,4.243,0.6249
560,3.84,0.6536,3.818,0.6538
561,4.005,0.6324,3.996,0.6418
562,3.845,0.6435,3.836,0.6495
563,4.006,0.6328,4.006,0.6328
564,4.28,0.5937,4.275,0.5938
