LigandID,Pose,BindingEnergy,IntermolecularEnergy,InternalEnergy,TorsionalEnergy,UnboundEnergy
256,1,76.729,103.642,37.972,-26.913,37.972
256,2,33.479,47.179,13.093,-13.7,13.093
261,1,7.921,11.162,21.163,-3.241,21.163
265,1,145.051,195.929,13.171,-50.878,13.171
265,2,6.809,9.595,41.095,-2.786,41.095
266,1,76.582,98.967,13.73,-22.385,13.73
266,2,78.295,114.912,28.525,-36.617,28.525
267,1,15.318,22.482,2.593,-7.164,2.593
268,1,37.279,54.714,3.728,-17.435,3.728
268,2,120.137,169.3,47.443,-49.163,47.443
269,1,15.718,23.069,9.802,-7.351,9.802
272,1,51.695,66.805,10.959,-15.11,10.959
272,2,161.007,226.894,9.549,-65.887,9.549
275,1,-7.996,-11.268,77.354,3.272,77.354
276,1,42.067,59.282,-0.013,-17.215,-0.013
278,1,36.525,49.337,115.852,-12.812,115.852
280,1,173.763,244.87,26.781,-71.107,26.781
281,1,-3.372,-3.767,1.742,0.394,1.742
283,1,-10.706,-11.958,169.242,1.252,169.242
283,2,-7.704,-8.605,1.261,0.901,1.261
285,1,-7.99,-8.924,40.013,0.934,40.013
290,1,-9.229,-10.847,-0.135,1.619,-0.135
290,2,7.889,11.117,86.754,-3.228,86.754
291,1,-9.937,-13.133,545.882,3.195,545.882
291,2,46.727,65.849,220.091,-19.122,220.091
291,3,68.917,97.119,5.423,-28.202,5.423
294,1,44.263,74.02,162.673,-29.758,162.673
294,2,15.874,22.37,10.745,-6.496,10.745
295,1,235.075,345.014,46.287,-109.94,46.287
299,1,26.176,43.774,7.813,-17.598,7.813
299,2,66.891,94.264,9.255,-27.373,9.255
300,1,1.527,2.374,13.547,-0.848,13.547
300,2,112.858,162.341,106.067,-49.483,106.067
302,1,-8.919,-10.744,11.783,1.825,11.783
302,2,79.169,111.567,8.633,-32.398,8.633
304,1,131.884,232.113,104.777,-100.229,104.777
304,2,49.873,70.282,9.89,-20.409,9.89
306,1,-8.363,-9.34,-0.756,0.978,-0.756
306,2,-7.472,-9.437,17.178,1.966,17.178
306,3,149.816,197.987,203.924,-48.17,203.924
312,1,-8.758,-10.294,9.342,1.536,9.342
313,1,-9.779,-12.924,17.793,3.144,17.793
313,2,193.539,272.739,16.635,-79.2,16.635
314,1,-5.247,-6.167,2.118,0.92,2.118
314,2,132.552,186.795,19.021,-54.243,19.021
315,1,-6.616,-8.744,23.882,2.127,23.882
316,1,-7.931,-10.017,26.684,2.086,26.684
317,1,-7.386,-10.193,60.984,2.807,60.984
317,2,-4.644,-5.458,-0.232,0.814,-0.232
318,1,-7.492,-9.463,27.664,1.971,27.664
318,2,7.529,8.63,6.017,-1.1,6.017
319,1,-8.482,-11.209,14.105,2.727,14.105
319,2,-8.04,-9.45,0.694,1.41,0.694
319,3,15.537,21.895,0.19,-6.358,0.19
320,1,83.2,126.975,5.123,-43.775,5.123
320,2,83.753,108.234,28.271,-24.481,28.271
320,3,-7.58,-9.353,53.425,1.773,53.425
321,1,142.113,191.961,46.624,-49.848,46.624
321,2,-8.679,-9.694,0.482,1.015,0.482
322,1,-9.25,-10.332,0.958,1.082,0.958
324,1,-5.17,-6.379,1.478,1.209,1.478
325,1,35.426,49.923,19.401,-14.497,19.401
325,2,-9.026,-11.136,-0.038,2.111,-0.038
327,1,-8.098,-9.992,1.82,1.894,1.82
327,2,-8.512,-11.996,3.984,3.483,3.984
328,1,22.803,36.134,4.082,-13.331,4.082
328,2,-9.566,-11.244,2.2,1.678,2.2
329,1,-9.254,-11.418,0.698,2.164,0.698
330,1,-8.334,-9.795,1.562,1.462,1.562
332,1,-9.782,-11.212,-0.348,1.43,-0.348
333,1,8.633,13.681,10.295,-5.047,10.295
333,2,-11.686,-12.369,671.931,0.683,671.931
333,3,66.1,100.878,4.795,-34.778,4.795
334,1,-7.297,-8.15,3.925,0.853,3.925
335,1,9.553,14.579,43.552,-5.026,43.552
336,1,-7.13,-7.963,-0.145,0.834,-0.145
337,1,74.07,113.041,4.044,-38.971,4.044
337,2,-7.324,-8.394,2.712,1.07,2.712
338,1,-7.898,-8.821,-0.005,0.923,-0.005
339,1,-7.712,-8.614,-0.04,0.902,-0.04
340,1,-7.6,-8.266,9.936,0.666,9.936
341,1,-9.73,-11.437,15.863,1.707,15.863
343,1,-8.017,-8.954,0.446,0.937,0.446
345,1,-6.227,-6.955,-0.144,0.728,-0.144
346,1,-8.05,-8.992,1.09,0.941,1.09
346,2,4.607,6.223,-1.134,-1.616,-1.134
349,1,-5.177,-5.782,1.401,0.605,1.401
350,1,-0.11,-0.11,0.0,0.0,0.0
353,1,-2.89,-3.228,0.979,0.338,0.979
354,1,12.639,20.397,24.617,-7.758,24.617
354,2,-8.422,-9.406,-0.228,0.985,-0.228
357,1,-8.828,-9.602,1.196,0.774,1.196
358,1,-8.004,-9.407,0.738,1.404,0.738
361,1,8.141,9.568,1.378,-1.428,1.378
363,1,-7.765,-10.035,0.555,2.27,0.555
365,1,80.321,113.189,20.002,-32.869,20.002
365,2,-3.229,-3.795,1.187,0.566,1.187
368,1,362.267,817.596,1194.992,-455.329,1194.992
368,2,-8.637,-11.162,0.306,2.525,0.306
369,1,-8.714,-10.243,0.941,1.528,0.941
370,1,85.541,120.546,7.692,-35.005,7.692
370,2,-8.784,-10.838,0.261,2.054,0.261
371,1,519.849,793.363,4278.796,-273.513,4278.796
371,2,-8.873,-10.948,0.048,2.075,0.048
372,1,-8.721,-10.761,0.561,2.039,0.561
374,1,-8.657,-10.175,0.02,1.518,0.02
375,1,-4.819,-5.664,-0.55,0.845,-0.55
377,1,9.828,11.552,0.804,-1.724,0.804
377,2,25.063,36.052,20.114,-10.989,20.114
378,1,8.214,10.614,9.474,-2.401,9.474
378,2,1.528,1.795,-0.001,-0.268,-0.001
381,1,-8.709,-10.237,0.263,1.527,0.263
381,2,8.7,11.243,7.541,-2.543,7.541
382,1,21.525,29.075,14.377,-7.55,14.377
382,2,2.858,4.612,16.307,-1.754,16.307
382,3,-4.071,-4.784,4.304,0.714,4.304
384,1,-8.478,-9.965,1.527,1.487,1.527
384,2,-3.289,-4.731,12.028,1.442,12.028
386,1,29.174,42.818,-1.453,-13.644,-1.453
386,2,-9.196,-10.809,0.042,1.613,0.042
386,3,29.741,40.173,73.682,-10.432,73.682
387,1,12.878,22.665,10.903,-9.787,10.903
388,1,-4.422,-5.198,1.419,0.776,1.419
389,1,-4.631,-5.443,1.52,0.812,1.52
390,1,-1.304,-1.532,2.18,0.229,2.18
390,2,40.892,57.626,6.509,-16.734,6.509
390,3,11.483,14.839,4.774,-3.356,4.774
392,1,22.807,38.14,15.865,-15.333,15.865
392,2,-7.565,-8.229,65.954,0.663,65.954
393,1,131.911,178.181,19.981,-46.269,19.981
393,2,-7.258,-8.107,-0.111,0.849,-0.111
393,3,7.935,10.255,6.889,-2.319,6.889
394,1,-7.176,-8.015,0.206,0.839,0.206
395,1,-8.021,-8.959,1.323,0.938,1.323
395,2,20.412,27.572,4.839,-7.16,4.839
396,1,-6.71,-7.691,1.315,0.981,1.315
396,2,14.475,19.552,16.298,-5.077,16.298
397,1,10.087,14.215,6.496,-4.128,6.496
397,2,-6.54,-7.305,0.515,0.765,0.515
398,1,7.145,10.068,19.868,-2.924,19.868
400,1,-8.241,-9.204,1.017,0.964,1.017
401,1,17.773,21.929,9.739,-4.156,9.739
402,1,-8.092,-8.801,13.019,0.71,13.019
