pValue,ligand,data
7.21,CC12CCC3C(C(Cc4ccccc4)=CC4=CC(=O)CCC43C)C1CCC2=O,CYP2d6_ki
5.85,CC12CCC3C(C(c4ccccc4)=CC4=CC(=O)CCC43C)C1CCC2=O,CYP2d6_ki
7.02,CC12CCC3C(C(CCc4ccc([N+](=O)[O-])cc4)=CC4=CC(=O)CCC43C)C1CCC2=O,CYP2d6_ki
7.03,CC12CCC3C(C(Cc4ccc([N+](=O)[O-])cc4)=CC4=CC(=O)CCC43C)C1CCC2=O,CYP2d6_ki
0,COC(=O)C1(C)CCC2C(CCC3=CC(=O)C=CC32C)C1C,CYP2d6_ki
5.4,CC1(C=O)CCC2C(CCC3=CC(=O)C=CC32C)C1,CYP2d6_ki
5.81,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,CYP2d6_ki
0,COC(=O)C1(C)CCC2C(CCC3=CC(=O)C=CC32C)C1,CYP2d6_ki
5.96,CC12CCCC1C1CCC3=CC(=O)C=CC3(C)C1CC2,CYP2d6_ki
4.89,CC(=O)OCC1(C)CCC2C(CCC3=CC(=O)C=CC32C)C1,CYP2d6_ki
4.35,CC(=O)C1(C)CCC2C(CCC3=CC(=O)C=CC32C)C1,CYP2d6_ki
5.07,CC1(CO)CCC2C(CCC3=CC(=O)C=CC32C)C1,CYP2d6_ki
0,CC1C2CCC3=CC(=O)C=CC3(C)C2CCC1(C)C(=O)O,CYP2d6_ki
0,CC1(C(=O)O)CCC2C(CCC3=CC(=O)C=CC32C)C1,CYP2d6_ki
4.01,CCC(=O)C1(C)CCC2C(CCC3=CC(=O)C=CC32C)C1,CYP2d6_ki
4.68,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,CYP2d6_ki
5.58,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,CYP2d6_ki
0,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,CYP2d6_ki
4.53,NCc1cc(-c2cccnc2)n[nH]1,CYP2d6_ki
0,c1cncc(-c2cc[nH]n2)c1,CYP2d6_ki
4.83,NCc1ccc(-c2ccccc2)o1,CYP2d6_ki
4.42,c1cncc(-c2ccc(C3SCCS3)o2)c1,CYP2d6_ki
4.19,CSCc1ccc(-c2cccnc2)o1,CYP2d6_ki
6.16,SCc1ccc(-c2cccnc2)o1,CYP2d6_ki
4.34,CC(=O)SCc1ccc(-c2cccnc2)o1,CYP2d6_ki
4.22,NCC#Cc1cccnc1,CYP2d6_ki
0,CN(C)Cc1ccc(-c2cccnc2)o1,CYP2d6_ki
4.34,CNCc1ccc(-c2cccnc2)o1,CYP2d6_ki
4.84,CN(C)Cc1ccc(-c2cccnc2)s1,CYP2d6_ki
4.25,CNCc1ccc(-c2cccnc2)s1,CYP2d6_ki
6.22,O=C(Nc1ccc2ccccc2c1)NC1CCN(C/C2=C/CCCCCC2)CC1,CYP2d6_ki
5.3,CC1(C)[C@H]2CC=C(CN3CCC(NC(=O)Nc4cc(C(F)(F)F)cc(C(F)(F)F)c4)CC3)[C@@H]1C2,CYP2d6_ki
4.82,CC(=O)N1C2C=C(CN3C4CCC3CC(NC(=O)Nc3cc(F)cc(C(F)(F)F)c3)C4)CC1CCC2,CYP2d6_ki
